Variant,Model,RevIN,Loss,HMM,SeqLen,ValMSE,File
Univariate,Linear,NoRevIN,MSE,NoHMM,30,97.83159637451172,Sub_Univariate_Linear_NoRevIN_MSE_NoHMM_Seq30_MSE98.csv
Univariate,Linear,NoRevIN,Huber,HMM4W30,30,97.87149047851562,Sub_Univariate_Linear_NoRevIN_Huber_HMM4W30_Seq30_MSE98.csv
Univariate,Linear,NoRevIN,MSE,HMM4W30,30,97.9334716796875,Sub_Univariate_Linear_NoRevIN_MSE_HMM4W30_Seq30_MSE98.csv
Multivariate,Linear,RevIN,MAE,HMM3W30,15,98.11072540283203,Sub_Multivariate_Linear_RevIN_MAE_HMM3W30_Seq15_MSE98.csv
Univariate,Linear,NoRevIN,MAE,HMM3W60,15,98.16358184814453,Sub_Univariate_Linear_NoRevIN_MAE_HMM3W60_Seq15_MSE98.csv
Multivariate,NLinear,NoRevIN,MAE,HMM3W60,15,98.29290008544922,Sub_Multivariate_NLinear_NoRevIN_MAE_HMM3W60_Seq15_MSE98.csv
Univariate,Linear,NoRevIN,MAE,HMM4W30,30,98.32894897460938,Sub_Univariate_Linear_NoRevIN_MAE_HMM4W30_Seq30_MSE98.csv
Univariate,Linear,NoRevIN,MSE,HMM3W30,15,98.33942413330078,Sub_Univariate_Linear_NoRevIN_MSE_HMM3W30_Seq15_MSE98.csv
Univariate,Linear,RevIN,MSE,HMM3W30,15,98.45779418945312,Sub_Univariate_Linear_RevIN_MSE_HMM3W30_Seq15_MSE98.csv
Univariate,Linear,RevIN,Huber,HMM3W30,15,98.46088409423828,Sub_Univariate_Linear_RevIN_Huber_HMM3W30_Seq15_MSE98.csv
Univariate,Linear,NoRevIN,MAE,HMM3W30,30,98.73834228515625,Sub_Univariate_Linear_NoRevIN_MAE_HMM3W30_Seq30_MSE99.csv
